#Source: http://thegreatestbooks.org/
114,The Revolt of the Masses,José Ortega y Gasset,1929
115,The Seven Pillars of Wisdom,T.E. Lawrence,1926
116,Slouching Towards Bethlehem,Joan Didion,1968
117,Samuel Johnson,Walter Jackson Bate,1977
118,Patriotic Gore,Edmund Wilson,1962
119,I Ching,China,-1400
120,On the Revolutions of the Heavenly Spheres,Nicolaus Copernicus,1543
121,Hippocratic Corpus,Hippocrates,-300
122,Jefferson and His Time,Dumas Malone,1948
123,Mythology,Edith Hamilton,1942
124,Rationalism in Politics,Michael Oakeshott,1962
125,Battle Cry of Freedom,James M. McPherson,1988
126,The Face of Battle,John Keegan,1976
127,Histories,Cornelius Tacitus,110
128,Economy and Society,Max Weber,1922
129,Sociobiology,Edward O. Wilson,1975
130,The George Sand-Gustave Flaubert Letters,Gustave Flaubert,1921
131,Life on the Mississippi,Mark Twain,1883
132,Two Treatises of Government,John Locke,1689
133,Enneads,Plotinus,250
134,The Harmony of the Worlds,Johannes Kepler,1619
135,Euclid's Elements,Euclid,-280
136,Centesimus Annus,Pope John Paul II,1991
137,The Pursuit of the Millennium,Norman Cohn,1957
138,Apology,Plato,-399
139,The Autobiography of Alice B. Toklas,Gertrude Stein,1933
140,The Great Terror,Robert Conquest,1968
141,The Unconscious,Sigmund Freud,1890
142,Chronicles of Wasted Time,Malcolm Muggeridge,1972
143,The Affluent Society,John Kenneth Galbraith,1958
144,Poetics,Aristotle,-335
145,Common Sense,Thomas Paine,1775
146,The Journal of Jules Renard,Jules Renard,1925
147,Up in the Old Hotel,Joseph Mitchell,1992
148,Let Us Now Praise Famous Men,James Agee,1941
149,Tristes Tropiques,Claude Levi-Strauss,1955
150,The Everlasting Man,G. K. Chesterton,1925
151,A Supposedly Fun Thing I'll Never Do Again,David Foster Wallace,1997
152,The Bookseller of Kabul,Asne Seierstad,2003
153,A Vindication of the Rights of Woman,Mary Wollstonecraft,1798
154,Rights of Man,Thomas Paine,1791
155,Good-Bye to All That,Robert Graves,1929
156,Angela's Ashes: A Memoir,Frank McCourt,1996
157,Dispatches,Michael Herr,1977
158,I Know Why the Caged Bird Sings,Maya Angelou,1969
159,Desert Solitaire,Edward Abbey,1968
160,Facundo,Domingo Faustino Sarmiento,1845
161,The Snow Leopard,Peter Matthiessen,1978
162,On Writing,Stephen King,2000
163,Radical Chic and Mau-Mauing the Flak Catchers,Tom Wolfe,1970
164,Maximes,François duc de La Rochefoucauld,1680
165,The Worst Journey in the World,Robert Falcon Scott,1922
166,Les Caractères ,Jean de La Bruyère,1688
167,Lettres de madame de Sévigné,Marie de Rabutin-Chantal marquise de Sévigné,1696
168,The Voyage of the Beagle,Charles Darwin,1839
169,On Food and Cooking: The Science and Lore of the Kitchen,Harold McGee,1984
170,The Provincial Letters,Blaise Pascal,1656
171,The Woman Warrior: Memoirs of a Girlhood Among Ghosts,Maxine Hong Kingston,1975
172,Genetics and the Origin of Species,Theodosius Dobzhansky,1937
173,Hard Times: An Oral History of the Great Depression,Studs Terkel,1970
174, The Unheavenly City,Edward C. Banfield,1970
175,Correspondence,Voltaire,1778
176,Duke of Deception,Geoffrey Wolff,1979
177,The Works of Max Beerbohm,Max Beerbohm,1896
178,Hollywood Babylon,Kenneth Anger,1959
179,El Bulli: 1998-2002,"Ferran Adria, Juli Soler, Albert Adria",2002
180,Larousse Gastronomique: The World's Greatest Culinary Encyclopedia,Joël Robuchon,2009
181,The Americans,Robert Frank,1958
182,The Emperor,Ryszard Kapuscinski,1978
183,"Our Band Could Be Your Life: Scenes from the American Indie Underground, 1981-1991",Michael Azerrad,2001
184,Essential Cuisine,Michel Bras,
185,Letters to a Young Poet,Rainer Maria Rilke,1934
186,Philosophical Writings,Novalis,1801
187,The Word of God and the Word of Man,Karl Barth,1952
188,Beyond the Pleasure Principle,Sigmund Freud,1920
189,Rameau's Nephew,Denis Diderot,1805
190,The Expanding Universe,Arthur Eddington,1948
191,Physics and Philosophy,Werner Heisenberg,1934
192,The Nature of Life,C. H. Waddington,1961
193,The Acquisitive Society,R. H. Tawney,1921
194,The Theory of the Leisure Class,Thorstein Veblen,1899
195,Essays in Sociology,Max Weber,1958
196,An Autobiography of Anthony Trollope,Anthony Trollope,1883
197,Science and the Modern World,Alfred North Whitehead,1925
198,A Dictionary of the English Language,Samuel Johnson,1755
199,Repression,Sigmund Freud,1950
200,New Introductory Lectures on Psycho-Analysis,Sigmund Freud,1933
201,Instincts and Their Vicissitudes,Sigmund Freud,1915
202,The Future Prospects of Psycho-Analytic Therapy,Sigmund Freud,1910
203,Epitome of Copernican Astronomy,Johannes Kepler,1617
204,Atomic Theory and the Description of Nature,Niels Bohr,1952
205,The Problems of Philosophy,Bertrand Russell,1912
206,Science and Hypothesis,Henri Poincaré,1905
207,On Narcissism,Sigmund Freud,1914
208,Discussion with Einstein on Epistemology,Niels Bohr,1965
209,"Observations on ""Wild"" Psycho-Analysis",Sigmund Freud,1952
210,The Origin and Development of Psycho-Analysis,Sigmund Freud,1952
211,Scientific Autobiography and Other Papers,Max Planck,1949
212,Almagest,Ptolemy,150
213,Selected Papers on Hysteria,Sigmund Freud,1912
214,"Inhibitions, Symptoms, and Anxiety",Sigmund Freud,1893
215,Mencius,Mencius,-400
216,Basic Documents in American History,Richard Brandon Morris,1956
217,The Subjection of Women,John Stuart Mill,1869
218,The Ego and the Id,Sigmund Freud,1923
219,Structural Anthropology,Claude Lévi-Strauss,1963
220,Thoughts for the Times on War and Death,Sigmund Freud,1952
221,An Introduction to Metaphysics,Henri Bergson,1903
222,Group Psychology and the Analysis of the Ego,Sigmund Freud,1922
223,An Introduction to Mathematics,Alfred North Whitehead,1910
224,A General Introduction to Psycho-Analysis,Sigmund Freud,1952
225,Experience in Education,John Dewey,1938
226,What Is Metaphysics?,Martin Heidegger,1930
227,Fear and Trembling,Søren Kierkegaard,1843
228,The Pillow Book,Sei Shōnagon,1002
229,The Meaning of Truth,William James,1909
230,What Is Life?,Erwin Schrödinger,1929
231,Records of the Grand Historian,Sima Qian,-91
232,Democratic Vistas,Walt Whitman,1871
233,Eminent Victorians,Lytton Strachey,1918
234,The End of History and the Last Man,Francis Fukuyama,1992
235,The Age of Reform,Richard Hofstadter,1955
236,The Joy of Cooking,"Irma S. Rombauer, Marion Rombauer Becker, and Ethan Becker",1936
237,The Art of Memory,Frances A. Yates,1966
238,The American Language,H. L. Mencken,1919
239,God and Man at Yale,"William F. Buckley, Jr.",1951
240,The Habit of Being,Flannery O'Connor,1978
241,The Lives of a Cell,Lewis Thomas,1974
242,Either Or,Soren Kierkegaard,1843
243,An Essay Concerning Human Understanding,John Locke,1690
244,Ideas Have Consequences,Richard M. Weaver,1948
245, The Economy of Cities,Jane Jacobs,1969
246,The Closing of the American Mind,Allan Bloom,1987
247,Ethnic America,Thomas Sowell,1981
248,Main Currents in American Thought,Vernon L Parrington,1927
249,The City in History,Lewis Mumford,1961
250,The Guns of August,Barbara Tuchman,1962
251,Three Case Histories,Sigmund Freud,1963
252,The Struggle for Europe,Chester Wilmot,1952
253,The Power Broker,Robert Caro,1974
254,The Color of Water: A Black Man's Tribute to His White Mother,James McBride,1995
255,Systematic Theology,Wolfhart Pannenberg,1988
256,The Campaign of the Marne,Sewell Tyng,1925
257,Being and Time,Martin Heidegger,1927
258,Tractatus Logico-Philosophicus,Ludwig Wittgenstein,1921
259,Future Shock: The Third Wave,Alvin Toffler,1980
260,Insight: A Study of Human Understanding,Bernard Lonergan,1957
261,The Mismeasure of Man,Stephen Jay Gould,1981
262,Disraeli,Robert Blake,1967
263,Democracy and Leadership,Irving Babbitt,1924
264,The Proper Study of Mankind,Isaiah Berlin,1997
265,The Machiavellians,James Burnham,1943
266,Notes of a Native Son,James Baldwin,1955
267,Reflections of a Russian Statesman,Konstantin P. Pobedonostsev,1898
268,Nature and Destiny of Man,Reinhold Niebuhr,1943
269,The Hedgehog and the Fox,Isaiah Berlin,1953
270,Truman,David McCullough,1992
271,The ABC of Reading,Ezra Pound,1934
272,Second World War,John Keegan,1990
273,Henry James,Leon Edel,1963
274,The Making of Homeric Verse,Milman Parry,1971
275,The Strange Ride of Rudyard Kipling,Angus Wilson,1977
276,Scrutiny,F. R. Leavis,1947
277,Seven Years in Tibet,Heinrich Harrer,1952
278,The Edge of the Sword,Charles De Gaulle,1960
279, Bureaucracy,Ludwig von Mises,1945
280,Essays of E. B. White,E. B. White,1977
281,Hell's Angels,Hunter S. Thompson,1965
282,Zen and the Art of Motorcycle Maintenance,Robert M. Pirsig,1974
283,Balzac,Stefan Zweig,1946
284,The Good Society,Walter Lippmann,1937
285,The Christian Tradition,Jaroslav Pelikan,1973
286,Strange Defeat,Marc Bloch,1944
287,Looking Back,Norman Douglas,1998
288, Mont-Saint-Michel and Chartres,Henry Adams,1918
289,Poetry and the Age,Randall Jarrell,1953
290,Love in the Western World,Denis de Rougemont,1939
291,Wealth and Poverty,George Gilder,1981
292,Care of the Soul: Guide for Cultivating Depth and Sacredness,Thomas Moore,1992
293,Darwin's Black Box,Michael J. Behe,1996
294,The Way the World Works,Jude Wanniski,1978
295,To the Finland Station,Edmund Wilson,1940
296,Civilisation,Kenneth Clark,1969
297,The Russian Revolution,Richard Pipes,1990
298,The Idea of History,R. G. Collingwood,1946
299,The Last Lion,William Manchester,1988
